N, t_def, p_def, t_avx2, p_avx2, t_avx2rsqrt, p_avx2rsqrt, t_avx512, p_avx512, t_avx512rsqrt, p_avx512rsqrt, t_avx512rsqrt4i, p_avx512rsqrt4i,t_full,p_full,t_full_rsqrt,p_full_rsqrt,p_avx2_max,p_avx512_max,p_avx512rsqrt_max,p_avx512rsqrt4i_max,p_full_rsqrt8i_max
10496,0.470326,234.210919,0.108238,1017.716826,0.11576,951.588324,0.128133,859.697035,0.072142,1526.929191,0.063642,1730.852819,0.213472,516.017464,0.095975,1147.757908,1040,880,1530,1717,1257
10624,0.481147,234.561654,0.111246,1014.501274,0.118275,954.204499,0.129773,869.660787,0.074111,1522.824361,0.06541,1725.417014,0.218837,515.721321,0.097792,1154.070531,1040,880,1530,1717,1257
10752,0.493474,234.246763,0.113836,1015.449749,0.121929,948.052191,0.134583,858.910878,0.07568,1527.41361,0.066814,1730.089245,0.224076,515.873559,0.100288,1152.631789,1040,880,1530,1717,1257
10880,0.521279,227.063692,0.116634,1014.824581,0.124463,950.996615,0.13428,881.471023,0.078968,1498.877193,0.068847,1719.231549,0.229592,515.539284,0.102693,1152.595175,1040,880,1530,1717,1257
11008,0.516498,234.589766,0.1191,1017.341592,0.127089,953.384595,0.140739,860.922043,0.079344,1527.085681,0.069983,1731.344026,0.234859,515.905164,0.105561,1147.825299,1040,880,1530,1717,1257
11136,0.529904,234.003349,0.121981,1016.542995,0.130003,953.818002,0.142034,873.023767,0.081388,1523.560201,0.071818,1726.571857,0.240421,515.758841,0.107436,1154.168057,1040,880,1530,1717,1257
11264,0.542588,233.817157,0.124393,1019.881456,0.133437,950.760526,0.147519,860.002997,0.083022,1528.104161,0.073295,1730.895706,0.245878,515.972237,0.110025,1153.070458,1040,880,1530,1717,1257
11392,0.553933,234.26356,0.127986,1013.908484,0.13691,947.821188,0.147827,877.825989,0.086511,1499.999705,0.075419,1720.598304,0.25159,515.785503,0.11246,1153.888665,1040,880,1530,1717,1257
11520,0.56562,234.607972,0.130129,1019.749064,0.139355,952.237306,0.154191,860.613603,0.086856,1527.799212,0.076606,1732.225762,0.257076,516.185579,0.115685,1147.06746,1040,880,1530,1717,1257
11648,0.577879,234.762425,0.133564,1015.726019,0.141994,955.42524,0.155222,874.002494,0.089037,1523.690254,0.07856,1726.895403,0.263038,515.759888,0.117546,1154.13758,1040,880,1530,1717,1257
11776,0.591695,234.347676,0.136539,1015.551105,0.145408,953.609272,0.161549,858.3279,0.090728,1528.329152,0.080072,1731.722142,0.268716,516.018501,0.120363,1152.033339,1040,880,1530,1717,1257
11904,0.606214,233.734944,0.139503,1015.702601,0.148762,952.484638,0.161325,878.307364,0.09445,1500.192006,0.082326,1721.123763,0.274911,515.415675,0.122803,1153.824164,1040,880,1530,1717,1257
12032,0.619146,233.801069,0.142035,1019.164434,0.152024,952.197827,0.168283,860.199465,0.094717,1528.304306,0.083529,1733.009333,0.280543,515.988698,0.126213,1146.930272,1040,880,1530,1717,1257
12160,0.632641,233.708136,0.14577,1014.291316,0.156066,947.374909,0.169258,873.537981,0.096981,1524.559259,0.085569,1727.894737,0.286675,515.752214,0.128109,1154.120375,1040,880,1530,1717,1257
12288,0.648334,232.877818,0.148976,1013.47034,0.159103,948.962941,0.175905,858.321395,0.098821,1527.847384,0.087267,1730.125544,0.292647,515.919971,0.131382,1149.184387,1040,880,1530,1717,1257
12416,0.6591,233.871445,0.152178,1012.925257,0.162629,947.827823,0.175222,879.708355,0.10272,1500.629442,0.089538,1721.559542,0.298939,515.639245,0.133636,1153.464332,1040,880,1530,1717,1257
12544,0.673238,233.705294,0.154537,1018.133517,0.165284,951.931692,0.182897,860.263654,0.102916,1528.80645,0.090756,1733.660379,0.304935,515.977606,0.137007,1148.403913,1040,880,1530,1717,1257
12672,0.685802,234.13,0.158252,1014.630326,0.168491,952.969749,0.184004,872.62618,0.105297,1524.89876,0.092895,1728.477334,0.311204,515.954277,0.139116,1154.194212,1040,880,1530,1717,1257
12800,0.700171,233.981608,0.161294,1015.705703,0.172314,950.750626,0.190647,859.322312,0.107138,1529.120715,0.094563,1732.461129,0.317413,516.133109,0.142088,1153.000563,1040,880,1530,1717,1257
12928,0.709033,235.701572,0.164574,1015.471647,0.176012,949.481239,0.190044,879.376394,0.111323,1501.214475,0.097024,1722.461246,0.324137,515.585609,0.144812,1154.046636,1040,880,1530,1717,1257
13056,0.727904,234.160009,0.167405,1018.166696,0.179295,950.64341,0.19806,860.576876,0.11146,1529.207116,0.098285,1734.208577,0.33032,516.003035,0.14845,1148.170288,1040,880,1530,1717,1257
13184,0.744716,233.383957,0.1708,1017.590328,0.182816,950.706046,0.198221,876.823011,0.11396,1525.131218,0.100535,1728.798722,0.337011,515.724796,0.150579,1154.240357,1040,880,1530,1717,1257
13312,0.759141,233.416598,0.174303,1016.599701,0.186156,951.866007,0.206134,859.614922,0.115844,1529.612496,0.102243,1733.08729,0.343609,515.691364,0.153662,1153.156433,1040,880,1530,1717,1257
13440,0.774319,233.263151,0.177713,1016.357296,0.189656,952.356026,0.205897,877.2365,0.120285,1501.595578,0.104829,1723.002567,0.350312,515.598627,0.156493,1154.173501,1040,880,1530,1717,1257
13568,0.787948,233.615837,0.180856,1017.810629,0.193257,952.498086,0.213888,860.623493,0.120366,1529.316427,0.106164,1733.894909,0.356691,516.067969,0.160536,1146.637261,1040,880,1530,1717,1257
13696,0.803254,233.508515,0.18484,1014.749407,0.197813,948.201296,0.214537,874.286893,0.122961,1525.421885,0.10849,1728.892695,0.363871,515.476527,0.16258,1153.688232,1040,880,1530,1717,1257
13824,0.817333,233.795933,0.187955,1016.674857,0.200629,952.450151,0.222268,859.724716,0.124907,1529.851254,0.110227,1733.599336,0.370314,516.01857,0.165741,1152.936279,1040,880,1530,1717,1257
13952,0.830164,234.464908,0.192628,1010.466411,0.205706,946.225157,0.221763,877.713829,0.129611,1501.75785,0.112954,1723.217144,0.377555,515.538779,0.16868,1153.929544,1040,880,1530,1717,1257
14080,0.847199,233.985678,0.195061,1016.257043,0.207685,954.48534,0.230217,861.067994,0.129589,1529.69442,0.11427,1734.771348,0.384093,516.10522,0.172655,1148.141244,1040,880,1530,1717,1257
14208,0.863714,233.703608,0.198858,1015.063767,0.211607,953.907594,0.231474,872.035067,0.132285,1525.900484,0.116683,1729.921832,0.391334,515.807815,0.174869,1154.312599,1040,880,1530,1717,1257
14336,0.881794,233.05515,0.202944,1012.62575,0.215271,954.641504,0.239256,858.938589,0.134343,1529.714156,0.118553,1733.453037,0.398384,515.849805,0.17847,1151.492458,1040,880,1530,1717,1257
14464,0.894539,233.855479,0.206339,1013.830435,0.219878,951.403015,0.237567,880.562613,0.139261,1502.167471,0.12134,1724.02155,0.405622,515.733855,0.181234,1154.270873,1040,880,1530,1717,1257
14592,0.907541,234.603049,0.208897,1019.221766,0.224123,949.977178,0.247092,861.672164,0.139164,1529.931576,0.122696,1735.282039,0.412489,516.163402,0.18573,1146.353957,1040,880,1530,1717,1257
14720,0.92517,234.187889,0.213672,1014.002005,0.227599,951.955587,0.24774,874.560422,0.141964,1526.185219,0.125217,1730.308184,0.420129,515.707979,0.187684,1154.406124,1040,880,1530,1717,1257
14848,0.942286,233.950496,0.217039,1015.709552,0.231037,954.167516,0.256288,860.157225,0.144055,1530.309602,0.127104,1734.393293,0.427219,516.007036,0.191168,1153.164476,1040,880,1530,1717,1257
14976,0.956701,234.415504,0.2209,1015.234406,0.235926,950.576088,0.254664,880.633313,0.149254,1502.580249,0.130071,1724.17188,0.434681,515.932039,0.194321,1154.100876,1040,880,1530,1717,1257
15104,0.973777,234.258711,0.223702,1019.7281,0.239511,952.422556,0.264866,861.24966,0.149057,1530.388045,0.131412,1735.884673,0.441965,516.1396,0.198662,1148.258147,1040,880,1530,1717,1257
15232,0.990964,234.114016,0.228611,1014.817373,0.244187,950.085267,0.265136,875.018656,0.15197,1526.605711,0.134051,1730.671078,0.44979,515.792794,0.200968,1154.402852,1040,880,1530,1717,1257
15360,1.003006,235.207169,0.232599,1014.255103,0.247278,954.046462,0.274282,860.114202,0.154124,1530.682816,0.136009,1734.552143,0.45738,515.795107,0.204598,1153.062839,1040,880,1530,1717,1257
15488,1.024404,234.148581,0.236162,1015.669287,0.252145,951.289893,0.272409,880.52385,0.159623,1502.681003,0.139089,1724.532217,0.465046,515.78254,0.207802,1154.287148,1040,880,1530,1717,1257
15616,1.044519,233.450841,0.239238,1019.252731,0.256173,951.871427,0.283275,860.803499,0.159327,1530.463687,0.140462,1736.007509,0.472493,516.079354,0.212382,1148.138016,1040,880,1530,1717,1257
15744,1.057184,234.450932,0.244275,1014.667229,0.260115,952.878944,0.284037,872.625777,0.162334,1526.835595,0.143207,1730.768126,0.480521,515.810341,0.214744,1154.203493,1040,880,1530,1717,1257
15872,1.075371,234.249044,0.247624,1017.287783,0.264605,952.003362,0.293183,859.206951,0.164554,1530.830577,0.145188,1735.025364,0.487985,516.213136,0.218516,1152.797855,1040,880,1530,1717,1257
16000,1.098125,233.110164,0.252552,1013.589141,0.268508,953.356888,0.290397,881.496342,0.17039,1502.338467,0.148545,1723.281423,0.496552,515.523358,0.221998,1153.091084,1040,880,1530,1717,1257
16128,1.109335,234.461499,0.255568,1017.718379,0.272711,953.744301,0.301828,861.735894,0.169928,1530.628433,0.149822,1736.035287,0.504221,515.837798,0.226678,1147.425075,1040,880,1530,1717,1257
16256,1.132625,233.299802,0.260985,1012.477496,0.278459,948.942481,0.302893,872.390695,0.173158,1526.011072,0.152811,1729.205639,0.51233,515.763617,0.229277,1152.497944,1040,880,1530,1717,1257
16384,1.269982,211.356539,0.265513,1010.943582,0.287531,933.530372,0.312718,858.340926,0.178504,1503.714041,0.156715,1712.785719,0.520161,516.030897,0.251908,1065.546009,1040,880,1530,1717,1257
